Vary n_fins (15 to 60)
scale, b, c, f_h
4, 1, 1, 50

1.500000000000000000e+01 1.133743542236266251e+02 1.350760000000000000e+05 2.666962909698486328e+02
2.000000000000000000e+01 9.754887716855611757e+01 1.259690000000000000e+05 3.352310819625854492e+02
2.500000000000000000e+01 9.001007411915361445e+01 1.181160000000000000e+05 4.036642122268676758e+02
3.000000000000000000e+01 8.624022660273995200e+01 1.117170000000000000e+05 4.760394561290740967e+02
3.500000000000000000e+01 8.432959112507238331e+01 1.069760000000000000e+05 5.389218904972076416e+02
4.000000000000000000e+01 8.336858815028244862e+01 1.038110000000000000e+05 6.037860336303710938e+02
4.500000000000000000e+01 8.289412000161529193e+01 1.018860000000000000e+05 6.794052386283874512e+02
5.000000000000000000e+01 8.266493421212790338e+01 1.007970000000000000e+05 7.587978892326354980e+02
5.500000000000000000e+01 8.255689530352697147e+01 1.002170000000000000e+05 8.429087157249450684e+02
6.000000000000000000e+01 8.250707692800645532e+01 9.992100000000000000e+04 1.154484361171722412e+03
